latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-20.15562,144.18005,347,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,298.3,9.3,D
-20.15183,144.17929,349.4,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,299.3,9.3,D
-20.15026,144.05818,344.4,0.51,0.41,2020-01-06,0418,1,nominal,1.0NRT,313,12.1,D
-19.96124,144.42403,347,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,299.1,12.3,D
-19.95647,144.42842,341.3,0.54,0.42,2020-01-06,0418,1,nominal,1.0NRT,295,7.7,D
-19.95739,144.42325,349.1,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,301,7.7,D
-19.95354,144.42249,351.8,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,303.7,7.7,D
-19.94674,144.41594,336.2,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,304.7,9.7,D
-19.92614,144.4863,344,0.54,0.42,2020-01-06,0418,1,nominal,1.0NRT,307.3,17.6,D
-19.93163,144.45573,348.2,0.54,0.42,2020-01-06,0418,1,nominal,1.0NRT,291.5,13.8,D
-19.95213,144.29697,333.6,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,302.7,3.7,D
-19.94651,144.3062,331.6,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,298.2,5,D
-19.9474,144.30122,351,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,302.3,19.1,D
-19.9483,144.29625,348.2,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,307.4,19.1,D
-19.94919,144.29128,355.6,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,312.1,16,D
-19.94536,144.29057,353.3,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,305.7,16,D
-19.94625,144.28558,354,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,307.8,16,D
-19.94715,144.28058,353.3,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,318.5,31.6,D
-19.94804,144.2756,348.3,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,311,31.6,D
-19.90806,144.38737,367,0.53,0.42,2020-01-06,0418,1,high,1.0NRT,301.9,10.7,D
-19.90421,144.38663,346.7,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,301.4,10.7,D
-19.92064,144.29596,339.3,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,293.5,4,D
-19.91682,144.29517,340.6,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,300,6.8,D
-19.91299,144.2944,342,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,300.7,6.8,D
-19.90826,144.29865,341.4,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,301.3,36,D
-19.90917,144.29364,332.3,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,298.1,3.5,D
-19.90352,144.3029,346.2,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,301.4,36,D
-19.88404,144.38795,344.6,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,299.2,5.4,D
-19.88959,144.35756,344.7,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,299.7,9.8,D
-19.88666,144.35184,341.8,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,304.7,13.2,D
-19.87727,144.38142,337,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,299.9,6.4,D
-19.88281,144.35115,334,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,302.1,10,D
-19.87248,144.3858,340.5,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,301.7,7.8,D
-19.88079,144.34045,341.7,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,304.9,6.8,D
-19.88173,144.33533,347.3,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,304.8,6.8,D
-19.89236,144.35481,331.1,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,300.1,7,D
-19.88317,144.38443,342,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,300.2,5.8,D
-19.88764,144.35905,334.7,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,299.8,5,D
-19.88852,144.35402,344.9,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,303.7,7,D
-19.88468,144.3533,341.4,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,302.5,5.5,D
-19.87546,144.38298,339.8,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,300.2,7.1,D
-19.8817,144.34764,336.3,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,304.2,5.5,D
-19.88259,144.34265,337.4,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,305.7,5.1,D
-19.86889,144.39763,335.3,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,302.3,5.1,D
-19.87964,144.33681,351,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,305.2,8.5,D
-19.88057,144.33159,335.3,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,301.6,3.5,D
-19.32645,146.95473,353.3,0.52,0.5,2020-01-06,0418,1,nominal,1.0NRT,302.1,18.9,D
-19.32191,146.95378,355.8,0.52,0.5,2020-01-06,0418,1,nominal,1.0NRT,304.4,33,D
-19.32287,146.94887,342.6,0.52,0.5,2020-01-06,0418,1,nominal,1.0NRT,299.5,13,D
-19.82996,143.73529,346.5,0.49,0.41,2020-01-06,0418,1,nominal,1.0NRT,315.7,11.8,D
-19.82625,143.73457,351.6,0.49,0.41,2020-01-06,0418,1,nominal,1.0NRT,317.5,11.8,D
-19.8217,143.73853,354.7,0.49,0.41,2020-01-06,0418,1,nominal,1.0NRT,318.4,10.6,D
-19.82253,143.73384,350.6,0.49,0.41,2020-01-06,0418,1,nominal,1.0NRT,318.4,10.6,D
-19.81716,143.74248,355.2,0.5,0.41,2020-01-06,0418,1,nominal,1.0NRT,318.2,18.2,D
-19.81799,143.73779,354.7,0.49,0.41,2020-01-06,0418,1,nominal,1.0NRT,319.2,10.6,D
-19.81262,143.74643,367,0.5,0.41,2020-01-06,0418,1,high,1.0NRT,318.6,13.5,D
-19.81345,143.74174,367,0.5,0.41,2020-01-06,0418,1,high,1.0NRT,319.1,13.5,D
-19.81427,143.73706,351.7,0.49,0.41,2020-01-06,0418,1,nominal,1.0NRT,318.9,17.1,D
-19.8151,143.73238,351.4,0.49,0.41,2020-01-06,0418,1,nominal,1.0NRT,317.8,17.1,D
-19.80973,143.74098,367,0.5,0.41,2020-01-06,0418,1,high,1.0NRT,319.1,13.5,D
-19.80725,143.75502,351.3,0.5,0.41,2020-01-06,0418,1,nominal,1.0NRT,314.7,12.8,D
-19.80808,143.75034,352,0.5,0.41,2020-01-06,0418,1,nominal,1.0NRT,315.5,12.8,D
-19.80891,143.74567,355.4,0.5,0.41,2020-01-06,0418,1,nominal,1.0NRT,316.8,13.5,D
-19.81056,143.7363,355.3,0.49,0.41,2020-01-06,0418,1,nominal,1.0NRT,321.6,17.1,D
-19.8052,143.74489,367,0.5,0.41,2020-01-06,0418,1,high,1.0NRT,316.2,11.3,D
-19.80354,143.75427,356.3,0.5,0.41,2020-01-06,0418,1,nominal,1.0NRT,317.1,15.1,D
-19.80437,143.74957,351.7,0.5,0.41,2020-01-06,0418,1,nominal,1.0NRT,314.4,15.1,D
-19.80602,143.7402,355.2,0.5,0.41,2020-01-06,0418,1,nominal,1.0NRT,316.8,11.3,D
-19.80685,143.73555,352.8,0.49,0.41,2020-01-06,0418,1,nominal,1.0NRT,318.7,31.6,D
-19.79982,143.75351,367,0.5,0.41,2020-01-06,0418,1,high,1.0NRT,314.6,15.1,D
-19.65234,144.57233,339.1,0.55,0.43,2020-01-06,0418,1,low,1.0NRT,311.8,9.5,D
-19.79899,143.75819,356.1,0.5,0.41,2020-01-06,0418,1,nominal,1.0NRT,316.5,114.5,D
-19.80065,143.74881,353.8,0.5,0.41,2020-01-06,0418,1,nominal,1.0NRT,312.7,15.1,D
-19.80149,143.74413,346.7,0.5,0.41,2020-01-06,0418,1,nominal,1.0NRT,312.2,11.3,D
-19.79816,143.76288,367,0.5,0.41,2020-01-06,0418,1,low,1.0NRT,330,114.5,D
